date,sse_amount,szse_amount,total_amount,unit,source,updated_at
20260527,14750.86,17657.37,32408.23,亿元,AKShare,2026-06-12 13:55:22
20260528,13625.13,16075.93,29701.06,亿元,AKShare,2026-06-12 13:55:23
20260529,15329.22,17879.56,33208.78,亿元,AKShare,2026-06-12 13:55:24
20260601,13202.46,15584.38,28786.84,亿元,AKShare,2026-06-12 13:55:26
20260602,12812.33,15128.46,27940.79,亿元,AKShare,2026-06-12 13:55:27
20260603,14319.17,17017.39,31336.56,亿元,AKShare,2026-06-09 14:38:36
20260604,12779.43,14859.77,27639.2,亿元,AKShare,2026-06-09 14:38:38
20260605,13644.79,17060.81,30705.6,亿元,AKShare,2026-06-09 14:38:39
20260608,12678.36,15259.01,27937.37,亿元,AKShare,2026-06-09 14:38:41
20260609,11746.63,14679.7,26426.33,亿元,AKShare,2026-06-12 13:55:29
20260610,12283.66,13929.48,26213.14,亿元,AKShare,2026-06-12 13:55:30
20260611,11866.82,13675.76,25542.58,亿元,AKShare,2026-06-12 13:55:31
